پ,Eng Name,Ar Name
1,`Abbās b. Abī Bakr,عباس بن أبي بكر
2,`Abbās b. Muḥammad Aknan,عباس بن محمد اكنن
3,`Abbās b. Muḥammad b. al-Sīdi,عباس بن محمد بن السيد
4,`Abd `Allāh b. Muḥammad Qadārada,عبد الله بن محمد قداردة
5,`Abd ... b. `Alī Yūsuf al-Fāsī,عبد ... بن علي يوسف الفاسي
6,`Abd al-`Alī b. `Abd al-Mālik b. `Umar al-Qurashī al-Butiji,عبد العالي بن عبد الملك بن عمر القرشي البوتيجي
7,`Abd al-`Azīz al-Dīrīnī,عبد العزيز الديريني‏ ‬
8,`Abd al-`Azīz b. `Abd al-Salām al-Salamī,عبد العزيز بن عبد السلام السلمي
11,`Abd al-`Azīz b. `Abd al-Waḥīd al-Lamaṭī al-Miknasī,عبد العزيز بن عبد الوحيد اللمطي المكنسي
13,`Abd al-`Azīz b. Aḥmad b. Sa`īd al-Dīrīnī al-Damīrī,عبد العزيز بن أحمد بن سعيد الديرني الدميري
14,`Abd al-`Azīz b. al-Ḥasan al-Zayyātī,عبد العزيز بن الحسن الزياتي
16,`Abd al-`Azīz b. al-Zayn,عبد العزيز بن الزين
17,`Abd al-`Azīz b. Ibrāhīm,عبد العزيز بن إبراهيم
18,`Abd al-`Azīz b. Muḥammad b. `Alī b. Ibrāhīm b. Aḥmad al-Sūqī al-Jabihī,عبد العزيز بن محمد بن عالي بن إبراهيم بن أحمد السوقي الجبهي
19,`Abd al-`Azīz b. Muḥammad Khalīl,عبد العزيز محمد خليل
21,`Abd al-Bāqī b. al-Amīn b. `Abd ad-Dā'im ad-Daymānī,عبد الباقي بن الأمين بن عبد الدائم الديماني
23,`Abd al-Bāqi b. Yusuf al-Zurqānī,عبد الباقي بن يوسف الزرقاني
24,`Abd al-Bārī al-Rifā`ī al-`Ashmāwī,عبد الباري الرفاعي العشماوي
26,`Abd al-Bāsiṭ b. Khalīl b. Shāhīn al-Ḥanafī,عبد الباسط بن خليل بن شاهين الحنفي
27,`Abd al-Dā'im b. Aḥmad Abī al-Ma`ālī al-Tāggāṭī,عبد الدائم بن أحمد أبي المعالي التاكاطي
28,`Abd al-Fattāḥ b. Sīdī Muḥammad b. `Abd al-Fattāḥ b. aṭ-Ṭālib Ā`lī al-Barakī at-Turkuzī,عبد الفتاح بن سيد محمد بن عبد الفتاح بن الطالب اعلي البركي التركزي
29,`Abd al-Ghānī b. Ismā`īl al-Nāblusī,عبد الغني بن إسماعيل النابلسي
30,`Abd al-Ghānī b. Ismā`īl al-Shāmī,عبد الغني بن إسماعيل الشامي
31,`Abd al-Ḥāfiẓ b. Ibrāhīm b. `Abd al-Wahhāb b. `Alī al-Ma`alūṭī,عبد الحافظ بن إبراهيم بن عبد الوهاب بن علي‏ ‬المعلوطي
32,`Abd al-Ḥamīd,عبد الحميد
33,`Abd al-Ḥamīd b. `Abd al-Majīd,عبد الحميد بن عبد المجيد
34,`Abd al-Ḥamīd b. Abī Bakr,عبد الحميد بن أبي بكر
35,`Abd al-Ḥamīd b. Bādīs al-Jazā'irī,عبد الحميد بن باديس الجزائري
36,`Abd al-Ḥaqq b. `Abd al-Raḥmān al-Azdī,عبد الحق بن عبد الرحمان الأزدي
37,`Abd al-Ḥaqq b. `Abd Allāh al-Makkī,عبد الحق بن عبد الله المكي
38,`Abd al-Ḥaqq b. `Alī al-Ḥaysūbī,عبد الحق بن علي الحيسوبي
39,`Abd al-Ḥaqq b. `Alī al-Maqqraī,عبد الحق بن علي المقري
40,`Abd al-Ḥayy b. aṭ-Ṭālib al-Intābī,عبد الحي بن الطالب الإنتابي
41,`Abd al-Jalīl b. Muḥammad b. Aḥmad al-Marādī al-Qayrawānī,عبد الجليل بن محمد بن احمد المرادي‏ ‬القيرواني‏
43,`Abd al-Kabīr b. `Abd al-Majīd,عبد الكبير بن عبد المجيد
44,`Abd al-Kāfī,عبد الكافي
45,`Abd al-Karīm b. Aḥmadhayyā al-Ḥasanī,عبد الكريم بن أحمذيا الحسني
46,`Abd al-Karīm b. al-`Arabī Banīs al-Fāsī,عبد الكريم بن العربي بنيس الفاسي
47,`Abd al-Karīm b. al-Ḥusaynī,عبد الكريم بن الحسيني
48,`Abd al-Karīm b. Hawāzin al-Qushayrī,عبد الكريم بن هوازن القشيري
49,`Abd al-Karīm b. Ibrāhīm al-Jayalī,عبد الكريم بن إبراهيم الجيلي
50,`Abd al-Karīm b. Ibrāhīm b. `Abd al-Karīm al-Kaylānī,عبد الكريم بن إبراهيم بن عبد الكريم الكيلاني
52,`Abd al-Karīm b. Muḥammad b. Muḥammad,عبد الكريم بن محمد بن محمد
53,`Abd al-Laṭīf,عبد اللطيف‏ ‬
54,`Abd al-Laṭīf b. `Abd al-`Azīz b. Mālik al-Karmānī,عبد اللطيف بن عبد العزيز بن مالك الكرماني‏ ‬كرماني‏
55,`Abd al-Laṭif b. Aḥmad al-Buqā`ī,عبد اللطيف بن أحمد البقاعي
56,`Abd al-Majīd `Alī Ḥādim Āl,عبد المجيد علي حادم آل
57,`Abd al-Majīd b. `Alī,عبد المجيد بن علي
59,`Abd al-Majīd b. Ibrāhīm al-Azharī al-Sharnūbī,عبد المجيد بن إبراهيم الأزهري الشرنوبي
60,`Abd al-Majīd b. Naṣūḥ al-Rūmī,عبد المجيد بن نصوح الرومي‏
61,`Abd al-Mālik al-Walātī,عبد المالك الولاتي
62,`Abd al-Malik b. `Abd Allāh al-Jūwaynī,عبد الملك بن عبد الله الجويني
63,`Abd al-Mālik b. al-Imām b. Aḥmad b. Ashfagha [Atshfagha] al-Ābbayrī,عبد المالك بن إمام بن أحمد بن أشفغ الأبييري
64,`Abd al-Mālik b. al-Kardabūs al-Tawzarī,عبد المالك بن الكردبوس التوزري
67,`Abd al-Mālik b. Badrūn al-Ḥaḍramī al-Shiblī,عبد المالك بن بدرون الحضرمي الشبلي
68,`Abd al-Mālik b. Firshī,عبد المالك بن فرشي
69,`Abd al-Mālik b. Muḥammad b. Ismā`īl al-Tha`ālibī,عبد الملك بن محمد بن إسماعيل الثعالبي
70,`Abd al-Mu`ṭī b. al-Burlusī,عبد المعطي البرلسي
71,`Abd al-Mu`ṭī b. Sālim b. `Umar al-Shabalī al-Simlālī,عبد المعطي بن سالم بن عمر الشبلي السملالي
74,`Abd al-Qādir `Alī b. Yūsuf,عبد القادر علي بن يوسف
